iucn_sid,sciname,worms_name,mapped,assessment_id,scientific_name,iucn_category,iucn_category_code,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,subpopulation_name,infra_name,species,subpopulation,infrarank,pop_trend_desc,pop_trend_code
155101,careproctus mederi,careproctus mederi,FALSE,4706780,Careproctus mederi,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,LIPARIDAE,Careproctus,mederi,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155102,cheilodipterus singapurensis,cheilodipterus singapurensis,FALSE,4707166,Cheilodipterus singapurensis,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,Cheilodipterus,singapurensis,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155103,dactyloscopus zelotes,dactyloscopus zelotes,TRUE,4707593,Dactyloscopus zelotes,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,DACTYLOSCOPIDAE,Dactyloscopus,zelotes,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155104,cheilopogon pinnatibarbatus,cheilopogon pinnatibarbatus,FALSE,4708020,Cheilopogon pinnatibarbatus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,EXOCOETIDAE,Cheilopogon,pinnatibarbatus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155105,platycephalus indicus,platycephalus indicus,FALSE,4708518,Platycephalus indicus,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,PLATYCEPHALIDAE,Platycephalus,indicus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155106,kali macrodon,kali macrodon,FALSE,115272320,Kali macrodon,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHIASMODONTIDAE,Kali,macrodon,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155107,monopenchelys acuta,monopenchelys acuta,FALSE,115272578,Monopenchelys acuta,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,MURAENIDAE,Monopenchelys,acuta,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155108,omobranchus rotundiceps,omobranchus rotundiceps,TRUE,4709936,Omobranchus rotundiceps,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Omobranchus,rotundiceps,NA,NA,TRUE,FALSE,FALSE,Stable,2
155109,praealticus dayi,praealticus dayi,TRUE,4710281,Praealticus dayi,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Praealticus,dayi,NA,NA,TRUE,FALSE,FALSE,Stable,2
155110,opistognathus scops,opistognathus scops,FALSE,115272964,Opistognathus scops,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,NOT ASSIGNED,OPISTOGNATHIDAE,Opistognathus,scops,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155111,congiopodus torvus,congiopodus torvus,FALSE,4711374,Congiopodus torvus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,CONGIOPODIDAE,Congiopodus,torvus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155112,stemonosudis gracilis,stemonosudis gracilis,FALSE,4712037,Stemonosudis gracilis,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,AULOPIFORMES,PARALEPIDIDAE,Stemonosudis,gracilis,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155113,saurida pseudotumbil,saurida pseudotumbil,FALSE,115273162,Saurida pseudotumbil,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,AULOPIFORMES,SYNODONTIDAE,Saurida,pseudotumbil,NA,NA,TRUE,FALSE,FALSE,Unknown,3
