aphiaid,current_area_km2,scenario,scenario_area_km2,area_change
398329,1017669.0954028739,RCP45_2050,512131.3108390785,contraction
398329,1017669.0954028739,RCP45_2100,511339.0736713543,contraction
398329,1017669.0954028739,RCP85_2050,788531.2593217078,contraction
398329,1017669.0954028739,RCP85_2100,532030.3012392821,contraction
398432,29515.215836942854,RCP45_2050,20845.636571338764,contraction
398432,29515.215836942854,RCP45_2100,13530.608447081931,contraction
398432,29515.215836942854,RCP85_2050,16534.292349838317,contraction
398432,29515.215836942854,RCP85_2100,1424.2634178034684,contraction
398543,239082.14294997795,RCP45_2050,68979.89382870511,contraction
398543,239082.14294997795,RCP45_2100,72791.2678506951,contraction
398543,239082.14294997795,RCP85_2050,84324.21024198826,contraction
398543,239082.14294997795,RCP85_2100,30885.226245979986,contraction
398568,262190.1801663243,RCP45_2050,210362.7511342213,contraction
398568,262190.1801663243,RCP45_2100,195960.32564705092,contraction
398568,262190.1801663243,RCP85_2050,225184.04918857283,contraction
398568,262190.1801663243,RCP85_2100,205508.84704413885,contraction
398572,232181.0454406406,RCP45_2050,178281.8536369851,contraction
398572,232181.0454406406,RCP45_2100,88905.42407056558,contraction
398572,232181.0454406406,RCP85_2050,165806.8218368011,contraction
398572,232181.0454406406,RCP85_2100,58860.342365846234,contraction
398704,285229.2498026481,RCP45_2050,225562.41296774228,contraction
398704,285229.2498026481,RCP45_2100,214998.86771072305,contraction
398704,285229.2498026481,RCP85_2050,221574.3685815214,contraction
398704,285229.2498026481,RCP85_2100,193120.94119546664,contraction
399668,598676.146150387,RCP45_2050,418367.4257251135,contraction
399668,598676.146150387,RCP45_2100,364070.22715857305,contraction
399668,598676.146150387,RCP85_2050,386374.5113623414,contraction
399668,598676.146150387,RCP85_2100,286313.4768481176,contraction
399783,1498882.451642012,RCP45_2050,1311609.9512938985,contraction
399783,1498882.451642012,RCP45_2100,1256872.4441331574,contraction
399783,1498882.451642012,RCP85_2050,1286034.609208608,contraction
399783,1498882.451642012,RCP85_2100,1147470.7336377571,contraction
405000,282648.46285657585,RCP45_2050,327958.83873503085,expansion
405000,282648.46285657585,RCP45_2100,299569.5970466359,expansion
405000,282648.46285657585,RCP85_2050,327929.07313782227,expansion
405000,282648.46285657585,RCP85_2100,319632.1880550288,expansion
405012,231617.35765460084,RCP45_2050,213653.20585899832,contraction
405012,231617.35765460084,RCP45_2100,220057.4242590728,contraction
405012,231617.35765460084,RCP85_2050,216164.6404269184,contraction
405012,231617.35765460084,RCP85_2100,218413.81298794277,contraction
405014,290122.1027386021,RCP45_2050,310062.1533768781,expansion
405014,290122.1027386021,RCP45_2100,314603.4458644272,expansion
405014,290122.1027386021,RCP85_2050,309772.7801632201,expansion
405014,290122.1027386021,RCP85_2100,312276.8912366961,expansion
411235,1309065.710408991,RCP45_2050,1614783.4258440116,expansion
411235,1309065.710408991,RCP45_2100,1723343.5571196866,expansion
411235,1309065.710408991,RCP85_2050,1620283.7703190153,expansion
411235,1309065.710408991,RCP85_2100,1753026.4718840413,expansion
411253,4160958.037817915,RCP45_2050,3848382.1922713416,contraction
411253,4160958.037817915,RCP45_2100,4310811.053517854,expansion
411253,4160958.037817915,RCP85_2050,3749445.9112962903,contraction
411253,4160958.037817915,RCP85_2100,4355459.23403076,expansion
413442,731568.7721624327,RCP45_2050,759759.2769551872,expansion
413442,731568.7721624327,RCP45_2100,783373.0960320594,expansion
413442,731568.7721624327,RCP85_2050,759881.144913681,expansion
413442,731568.7721624327,RCP85_2100,786048.3291630072,expansion
418865,1303062.2343284835,RCP45_2050,1132557.088421012,contraction
418865,1303062.2343284835,RCP45_2100,1083877.4560355572,contraction
418865,1303062.2343284835,RCP85_2050,1130751.631922261,contraction
418865,1303062.2343284835,RCP85_2100,1054151.5424163598,contraction
420200,332470.3405314101,RCP45_2050,179949.68798390054,contraction
420200,332470.3405314101,RCP45_2100,129753.9145085282,contraction
420200,332470.3405314101,RCP85_2050,137577.85198182604,contraction
420200,332470.3405314101,RCP85_2100,20736.199405036547,contraction
426361,196438.39406621075,RCP45_2050,156907.5806805806,contraction
426361,196438.39406621075,RCP45_2100,161589.2995091196,contraction
426361,196438.39406621075,RCP85_2050,156205.20091245708,contraction
426361,196438.39406621075,RCP85_2100,156352.4707583432,contraction
426366,274146.64866163477,RCP45_2050,104860.81939867165,contraction
426366,274146.64866163477,RCP45_2100,103535.75490118889,contraction
426366,274146.64866163477,RCP85_2050,110802.15686739172,contraction
426366,274146.64866163477,RCP85_2100,112556.79754098305,contraction
426419,84424.2449595687,RCP45_2050,23323.935750645636,contraction
426419,84424.2449595687,RCP45_2100,23377.189706849123,contraction
426419,84424.2449595687,RCP85_2050,23716.419517428643,contraction
426419,84424.2449595687,RCP85_2100,24139.71789370725,contraction
426444,1104734.5225080203,RCP45_2050,574053.4491245692,contraction
426444,1104734.5225080203,RCP45_2100,734160.684671022,contraction
426444,1104734.5225080203,RCP85_2050,575054.5048196485,contraction
426444,1104734.5225080203,RCP85_2100,669996.4247158734,contraction
426469,472646.9690942325,RCP45_2050,397049.23404750886,contraction
426469,472646.9690942325,RCP45_2100,380088.026667492,contraction
426469,472646.9690942325,RCP85_2050,407897.7117530397,contraction
426469,472646.9690942325,RCP85_2100,375569.35083456297,contraction
426486,2885689.5092441775,RCP45_2050,2891828.9395185495,expansion
426486,2885689.5092441775,RCP45_2100,3056430.9877135465,expansion
426486,2885689.5092441775,RCP85_2050,2937768.408927825,expansion
426486,2885689.5092441775,RCP85_2100,3058232.646335968,expansion
426495,473640.76907291333,RCP45_2050,171055.74068839187,contraction
426495,473640.76907291333,RCP45_2100,153901.9334105839,contraction
426495,473640.76907291333,RCP85_2050,180285.70482275644,contraction
426495,473640.76907291333,RCP85_2100,97684.43451928422,contraction
